"id","name","l10n_py_vat_set_code","country_id","sequence","l10n_py_tribute_set_code","tax_payable_account_id","tax_receivable_account_id","name@es"
"tax_group_iva_py_10","VAT 10%","5","base.py","10","","py_acc_21010503","py_acc_11020406","IVA 10%"
"tax_group_iva_no_gravado","VAT Untaxed","1","base.py","20","","py_acc_21010503","py_acc_11020406","IVA No Gravado"
"tax_group_iva_py_5","VAT 5%","8","base.py","30","","py_acc_21010503","py_acc_11020406","IVA 5%"
"tax_group_iva_py_305","VAT 30/5%","6","base.py","40","","py_acc_21010503","py_acc_11020406","IVA Vivienda"
"tax_group_iva_no_corresponde","VAT Not Applicable","0","base.py","50","","py_acc_21010503","py_acc_11020406","IVA No Corresponde"
"tax_group_iva_exento","VAT Exempt","2","base.py","60","","py_acc_21010503","py_acc_11020406","IVA Exento"
"tax_group_iva_0","VAT 0%","3","base.py","70","","py_acc_21010503","py_acc_11020406","IVA 0%"
"tax_group_otros_impuestos","Other Taxes","","","100","99","py_acc_21010503","py_acc_11020406","Otros Impuestos"
"tax_impuestos_internos","Internal Taxes","","base.py","110","04","py_acc_21010503","py_acc_11020406","Impuestos internos"
"tax_group_percepcion_iva","VAT Perception","","base.py","120","06","py_acc_21010503","py_acc_11020406","Percepción del IVA"
"tax_group_percepcion_municipal","Municipal Taxes Perceptions","","base.py","130","08","py_acc_21010503","py_acc_11020406","Percepción de los impuestos municipales"
"tax_group_percepcion_ganancias","Profit Perceptions","","base.py","140","09","py_acc_21010503","py_acc_11020406","Percepción de los beneficios"
"tax_group_otras_percepciones","Other Perceptions","","base.py","150","09","py_acc_21010503","py_acc_11020406","Otras percepciones"
